rank,word,paradigm,frequency,weight,DISKRIM,LAMUV,NETAISN,AICIN,DARB,PERS,ASOC,MILIT,NOSOD,EMOC,NODEV
142,nekaunīgs,Īp.s,26228,0.7,0,0,0,0,0,0,0,0,1,0,0
143,ziepes,D5.e,26069,0.4,0,0,0,0,0,0,1,0,0,0,0
144,nozagts,Īp.s,25934,0.7,0,0,1,0,0,0,0,0,0,0,0
145,deģenerāts,D1.s,25526,0.4,0,1,0,0,0,0,0,0,0,0,0
146,afēra,D4.a,25340,0.7,0,0,1,0,0,0,0,0,0,0,0
147,panika,D4.a,25010,1.0,0,0,0,0,1,0,0,0,0,0,0
148,sodīts,Īp.s,24968,0.4,0,0,0,0,0,0,1,0,0,0,0
149,aizliegums,D1.s,24910,1.0,0,0,0,0,1,0,0,0,0,0,0
150,degt,K1.gt.gu.gu,24796,1.0,0,0,0,0,1,0,0,0,0,0,0
151,pups,D1.s,24622,0.4,0,1,0,0,0,0,0,0,0,0,0
152,brīdināt,K3.ināt,24457,0.4,0,0,0,0,0,0,1,0,0,0,0
153,daunis,D2.nis,23972,0.4,0,1,0,0,0,0,0,0,0,0,0
154,algotnis,D2.nis,23954,0.4,0,0,0,0,0,0,0,1,0,0,0
155,nežēlīgs,Īp.s,23731,0.4,0,0,0,0,0,0,1,0,0,0,0
156,nosprāgt,K1.gt.gstu.gu,23687,1.0,0,0,0,0,1,0,0,0,0,0,0
157,atmazgāt,K2.t,23681,0.7,0,0,1,0,0,0,0,0,0,0,0
158,skaust,K1.st.žu.du,23600,1.0,0,0,0,0,0,0,0,0,0,1,0
159,aizsargāt,K2.t,23278,0.4,0,0,0,0,0,0,0,1,0,0,0
160,iekarot,K2.t,22974,0.4,0,0,0,0,0,0,0,1,0,0,0
161,draudi,DM.i,22842,0.4,0,0,0,0,0,0,1,0,0,0,0
162,čekists,D1.s,22738,0.4,0,0,0,0,0,0,1,0,0,0,0
163,brīdinājums,D1.s,22502,0.4,0,0,0,0,0,0,1,0,0,0,0
164,izvarot,K2.t,22276,1.0,0,0,0,0,1,0,0,0,0,0,0
